advertiser_id,product_id,date
9Z77N44VDW6KX6VBWJ4X,gtpxrf,2024-05-1
M0LU6DCI1WILGQBZ6808,b7j18x,2024-05-1
9Z77N44VDW6KX6VBWJ4X,07sut3,2024-05-1
LW045DVYSGRD75TK6U54,x7g6k2,2024-05-1
LW045DVYSGRD75TK6U54,qj799r,2024-05-1
IDOFCO721HTJGDH7332G,o64gnp,2024-05-1
SOVPFK3BBWKTQM9HOHWJ,bu6jsx,2024-05-1
62FIK8F2YT8JSFDBLEC9,p9enht,2024-05-1
GXLKAA83238FVRU718EX,vdfjf1,2024-05-1
62FIK8F2YT8JSFDBLEC9,z5q6o4,2024-05-1
OAGTYWN8WFC997VLDJH7,vwpduc,2024-05-1
Y0W3K7OV6ZLILW96OO3K,q03unw,2024-05-1
5E325T5HYL61QSABVR5V,ntyczc,2024-05-1
K6Z0X85ZUY0TSF4RCG5J,ge8q5n,2024-05-1
K6Z0X85ZUY0TSF4RCG5J,3qy8z4,2024-05-1
IOBPI63RBJIHI5FB7U9O,we0660,2024-05-1
LTRZRCI4M19WYVL6Q6L5,6jdki4,2024-05-1
LTRZRCI4M19WYVL6Q6L5,1yw82m,2024-05-1
AK81O7W3KGPEN8LABG2N,41dskn,2024-05-1
1OW4LWJSBJK6E1D9FDH7,tk6c47,2024-05-1
2WPF1NXECF3G6NUMWDO7,iqlrxh,2024-05-1
K6Z0X85ZUY0TSF4RCG5J,8bvah0,2024-05-1
IOBPI63RBJIHI5FB7U9O,mpx0k4,2024-05-1
M0LU6DCI1WILGQBZ6808,b7j18x,2024-05-1
SOVPFK3BBWKTQM9HOHWJ,blt64f,2024-05-1
LW045DVYSGRD75TK6U54,kavo6j,2024-05-1
OY5LNPB5A8FF43ITRZG3,3ujfa5,2024-05-1
1OW4LWJSBJK6E1D9FDH7,diengr,2024-05-1
Y0W3K7OV6ZLILW96OO3K,ik4lmj,2024-05-1
P41C5HK4P2G5GFRMT6ZA,b14efn,2024-05-1
5E325T5HYL61QSABVR5V,au1lgc,2024-05-1
HC26ZE93SA4WWA0BRFM6,l8d9k8,2024-05-1
IOBPI63RBJIHI5FB7U9O,26swwg,2024-05-1
HC26ZE93SA4WWA0BRFM6,2p1t46,2024-05-1
HC26ZE93SA4WWA0BRFM6,hklop7,2024-05-1
2WPF1NXECF3G6NUMWDO7,mtgdrk,2024-05-1
IDOFCO721HTJGDH7332G,0xr89h,2024-05-1
LTRZRCI4M19WYVL6Q6L5,28beg2,2024-05-1
2WPF1NXECF3G6NUMWDO7,m4uhns,2024-05-1
L6WM4665XZVS9MCZRTVI,j56pwn,2024-05-1
P41C5HK4P2G5GFRMT6ZA,tm093g,2024-05-1
1OW4LWJSBJK6E1D9FDH7,lj37sq,2024-05-1
OAGTYWN8WFC997VLDJH7,tdc0fi,2024-05-1
EN1SA43DTN2LIR8DEW5S,e5o88e,2024-05-1
HC26ZE93SA4WWA0BRFM6,0xxvj9,2024-05-1
HC26ZE93SA4WWA0BRFM6,3g69zz,2024-05-1
OY5LNPB5A8FF43ITRZG3,0og9vv,2024-05-1
LW045DVYSGRD75TK6U54,lp46n0,2024-05-1
IDOFCO721HTJGDH7332G,8bflso,2024-05-1
03KNVBO915KY2ZPGA57J,qal234,2024-05-1
03KNVBO915KY2ZPGA57J,mmhsat,2024-05-1
SOVPFK3BBWKTQM9HOHWJ,b5gl7y,2024-05-1
OY5LNPB5A8FF43ITRZG3,poqtlx,2024-05-1
K6Z0X85ZUY0TSF4RCG5J,oixggo,2024-05-1
AK81O7W3KGPEN8LABG2N,lseic0,2024-05-1
2WPF1NXECF3G6NUMWDO7,uos4mt,2024-05-1
62FIK8F2YT8JSFDBLEC9,1hv3ns,2024-05-1
LTRZRCI4M19WYVL6Q6L5,6wziv9,2024-05-1
8C88YB6E8YCGWU07HA7A,4tknpl,2024-05-1
9Z77N44VDW6KX6VBWJ4X,zp6gw3,2024-05-1
8C88YB6E8YCGWU07HA7A,8sdawt,2024-05-1
1OW4LWJSBJK6E1D9FDH7,mv86r4,2024-05-1
KD9PHCBGYFBRI9ET1O9R,co3h4d,2024-05-1
LW045DVYSGRD75TK6U54,1n69jd,2024-05-1
1OW4LWJSBJK6E1D9FDH7,4wu36j,2024-05-1
L6WM4665XZVS9MCZRTVI,1e4szg,2024-05-1
IOBPI63RBJIHI5FB7U9O,r9azpg,2024-05-1
P41C5HK4P2G5GFRMT6ZA,9ljwwj,2024-05-1
GXLKAA83238FVRU718EX,k9k5xb,2024-05-1
OY5LNPB5A8FF43ITRZG3,e798ov,2024-05-1
2WPF1NXECF3G6NUMWDO7,etkxky,2024-05-1
HC26ZE93SA4WWA0BRFM6,b0u1ac,2024-05-1
2WPF1NXECF3G6NUMWDO7,jbsa1q,2024-05-1
EN1SA43DTN2LIR8DEW5S,l20fxv,2024-05-1
OY5LNPB5A8FF43ITRZG3,7o90xh,2024-05-1
8C88YB6E8YCGWU07HA7A,bq6vgy,2024-05-1
SOVPFK3BBWKTQM9HOHWJ,4we5rn,2024-05-1
SOVPFK3BBWKTQM9HOHWJ,8u3w3x,2024-05-1
OAGTYWN8WFC997VLDJH7,rn0nqx,2024-05-1
K6Z0X85ZUY0TSF4RCG5J,6v0uf3,2024-05-1
